genome	true_class	top_class	top_p	0	1	2
Apophysomyces_trapeziformis	0	0.0	1.0	1.0	1.479847441607534e-19	1.279139849597044e-10
Sarocladium_oryzae	1	1.0	1.0	3.314417316990781e-12	1.0	1.761922385767889e-09
Priceomyces_haplophilus	2	2.0	1.0	2.5001908773554862e-14	1.3920284467217742e-13	1.0
Uncinocarpus_reesii	2	2.0	1.0	5.875381781707831e-15	2.0358136190560833e-15	1.0
Termitomyces_sp._MG148	0	0.0	1.0	1.0	1.1447482199041398e-16	6.748642877169031e-12
Penicillium_vulpinum	2	2.0	1.0	2.1706722248653054e-13	2.8505683924429093e-10	1.0
Penicillium_biforme	2	2.0	1.0	7.672979412216493e-14	4.627776495347291e-10	1.0
Sporisorium_scitamineum	0	0.0	1.0	1.0	1.3889251057688976e-21	3.17706337583587e-13
Aspergillus_brasiliensis	2	2.0	1.0	4.151745267022555e-11	8.214060941841295e-13	1.0
Neurospora_tetrasperma	1	1.0	1.0	1.8609349426560763e-14	1.0	1.297892016083324e-09
Phaffomyces_thermotolerans	2	2.0	1.0	2.6843120452733475e-27	2.4711934374059892e-30	1.0
Phlebiopsis_gigantea	0	0.0	1.0	1.0	1.2630618600359848e-24	1.506234373338522e-11
Magnaporthe_sp._MG08	1	1.0	1.0	5.647349924395133e-14	1.0	3.3378982883220483e-15
Exophiala_dermatitidis	2	2.0	1.0	5.969037870578604e-17	8.951234969445474e-15	1.0
Jaapia_argillacea	0	0.0	1.0	1.0	7.582042050290478e-17	6.259699211662388e-17
Parastagonospora_nodorum	2	2.0	1.0	8.289156748421834e-15	1.4863356042910808e-13	1.0
Paramyrothecium_roridum	1	1.0	1.0	6.365395678002012e-14	1.0	5.47486334045999e-10
Lecanicillium_sp._MT-2017a	1	1.0	1.0	1.8120167147214197e-15	1.0	1.566427196286746e-11
Candida_freyschussii	2	2.0	1.0	3.391013479476183e-18	2.891198734686785e-17	1.0
Neurospora_sublineolata	1	1.0	1.0	9.131065044701292e-13	1.0	8.269844531394455e-11
Candida_fructus	2	2.0	1.0	1.7686478739952812e-26	4.048749151436637e-28	1.0
Aspergillus_tubingensis	2	2.0	1.0	1.913664227082279e-10	9.001276286835225e-12	1.0
Psathyrella_aberdarensis	0	0.0	1.0	1.0	3.3224261632043756e-22	2.5805534792366913e-11
Kwoniella_bestiolae	0	0.0	1.0	1.0	2.444525377846299e-25	7.427675160099152e-26
Amanita_thiersii	0	0.0	1.0	1.0	1.1998076424262085e-19	3.439979469812025e-16
Rhizopogon_rudus	0	0.0	1.0	1.0	6.879455773089135e-22	3.0500518018346245e-14
Epichloe_glyceriae	1	1.0	1.0	1.836847037804248e-24	1.0	1.0808682074370246e-11
Wickerhamia_fluorescens	2	2.0	1.0	2.4128553430431687e-13	7.667102087764721e-13	1.0
Torulaspora_franciscae	2	2.0	1.0	2.5781560038096846e-16	3.4229442020843784e-19	1.0
Kazachstania_siamensis	2	2.0	1.0	4.798144125872888e-16	4.530025036727017e-14	1.0
Endocarpon_pusillum	2	2.0	1.0	7.382788130838591e-11	1.5542474533954131e-13	1.0
Metarhizium_brunneum	1	1.0	1.0	2.397488913690273e-19	1.0	1.0175044688780959e-15
Pezoloma_ericae	1	1.0	1.0	3.378411796434244e-18	1.0	2.767459079554193e-14
Sarcodon_aspratus	0	0.0	1.0	1.0	3.5579483424145325e-15	1.541096805723896e-09
Raffaelea_ambrosiae	1	1.0	1.0	1.2179833502682367e-16	1.0	1.308070540262009e-18
Atkinsonella_texensis	1	1.0	1.0	1.5743074001072226e-15	1.0	1.2977422088333856e-11
Pholiota_microspora	0	0.0	1.0	1.0	1.1399985135808075e-23	2.7405465050089894e-12
Rhizomucor_miehei	0	0.0	1.0	1.0	1.3783596182776372e-19	1.3007287812756476e-14
Epichloe_typhina	1	1.0	1.0	4.339727660184947e-30	1.0	2.545838166620175e-22
Fusarium_virguliforme	1	1.0	1.0	3.753429446130401e-30	1.0	1.4305863093690786e-25
Albatrellus_ellisii	0	0.0	1.0	1.0	3.474135853528646e-23	5.947052112254124e-27
Monilinia_fructigena	1	1.0	1.0	1.6975757688442172e-08	1.0	2.6135943409499873e-10
Syncephalastrum_racemosum	0	0.0	1.0	1.0	3.1076343586243295e-22	2.9371063901438346e-19
Penicillium_freii	2	2.0	1.0	1.0833628819487836e-16	7.857018508028446e-11	1.0
Exutisphaerella_laricina	2	2.0	1.0	1.9186537666797399e-13	1.2499662416232127e-10	1.0
Saccharomyces_arboricola	2	2.0	1.0	1.1519598954747544e-14	9.460348343495337e-21	1.0
Malassezia_obtusa	0	0.0	1.0	1.0	9.864580669460982e-41	1.3018258759876451e-29
Lachancea_mirantina	2	2.0	1.0	1.828644871448528e-18	2.4675617098251126e-19	1.0
Curvularia_geniculata	2	2.0	1.0	9.103797360063282e-13	5.262767218544573e-13	1.0
Phanerochaete_carnosa	0	0.0	1.0	1.0	7.892312721091082e-19	1.28191013359924e-09
Neonectria_punicea	1	1.0	1.0	6.709027991205781e-22	1.0	1.0637354212601172e-15
Amanita_phalloides	0	0.0	1.0	1.0	5.570661189075768e-23	4.547630955348877e-15
Lactifluus_hygrophoroides	0	0.0	1.0	1.0	1.1726502792800845e-17	3.422783229263017e-14
Rhizophagus_irregularis	0	0.0	1.0	1.0	6.938262464561973e-12	5.28275518016136e-15
Pneumocystis_carinii	0	0.0	1.0	1.0	1.7042649652869305e-16	3.4162454198849446e-08
Exophiala_oligosperma	2	2.0	1.0	1.5504472705707428e-11	5.096286170847009e-10	1.0
Aureobasidium_sp._FSWF8-4	2	2.0	1.0	4.454172447543314e-11	4.0435693682283613e-10	1.0
Trichosporon_faecale	0	0.0	1.0	1.0	5.001509109903398e-18	3.0091865278877514e-14
Pseudevernia_furfuracea	2	2.0	1.0	8.851212406242592e-13	4.6548143117775e-09	1.0
Fusarium_solani	1	1.0	1.0	1.8054408680025437e-23	1.0	1.9539752518194252e-20
Aspergillus_westerdijkiae	2	2.0	1.0	9.487854295622822e-13	2.6335566214764905e-13	1.0
Pseudocercospora_pini-densiflorae	2	2.0	1.0	2.0303804709725278e-19	4.2233078145770264e-11	1.0
Coniochaeta_ligniaria	1	1.0	1.0	1.0948845365987403e-22	1.0	1.0122877362739313e-11
Polytolypa_hystricis	2	2.0	1.0	1.9216754854056717e-09	2.4775912432772884e-09	1.0
Scytalidium_lignicola	1	1.0	1.0	1.621364791947968e-16	1.0	2.3873502133509028e-11
Rhizopus_oryzae	0	0.0	1.0	1.0	8.682126887344575e-22	3.508133865277499e-24
Cercospora_beticola	2	2.0	1.0	1.2286604652661732e-16	1.7929723732188624e-13	1.0
Thielaviopsis_punctulata	1	1.0	1.0	3.042842866562978e-09	1.0	5.595767656080375e-17
Aspergillus_clavatus	2	2.0	1.0	2.783570757941713e-16	1.7325130587976523e-13	1.0
Bretziella_fagacearum	1	1.0	1.0	3.639334761997633e-16	1.0	5.577469706246653e-14
Verticillium_nubilum	1	1.0	1.0	1.1009081673993925e-20	1.0	1.4172621409791475e-10
Talaromyces_stipitatus	2	2.0	1.0	2.1564550145569683e-10	1.4756497135337554e-09	1.0
Nakaseomyces_delphensis	2	2.0	1.0	8.413070045308613e-17	1.7874957831377518e-20	1.0
Epichloe_gansuensis	1	1.0	1.0	4.643238317356752e-22	1.0	4.585287459380292e-17
Fusarium_temperatum	1	1.0	1.0	3.5490064628139744e-20	1.0	1.9554344275263865e-15
Hysterium_pulicare	2	2.0	1.0	1.084929507344512e-10	3.100018020063544e-09	1.0
Exophiala_alcalophila	2	2.0	1.0	4.315551388467398e-11	3.4083760119818507e-12	1.0
Rhizoclosmatium_globosum	0	0.0	1.0	1.0	3.414020165203903e-14	1.2874773469562228e-09
Lipomyces_japonicus	2	2.0	1.0	1.0947147051701411e-12	7.497473128448284e-12	1.0
Zygosaccharomyces_bisporus	2	2.0	1.0	1.2531911746933681e-14	7.166275266386215e-17	1.0
Penicillium_fuscoglaucum	2	2.0	1.0	2.120848696586953e-14	5.555652049515913e-10	1.0
Cryptococcus_depauperatus	0	0.0	1.0	1.0	1.3088701233954225e-09	8.67972100443426e-12
Exophiala_calicioides	2	2.0	1.0	1.1260231028847878e-12	4.5128253134407714e-08	1.0
Debaryomyces_prosopidis	2	2.0	1.0	6.894172732696546e-13	4.7090122599902084e-12	1.0
Myriosclerotinia_scirpicola	1	1.0	1.0	3.9398137530177735e-12	1.0	9.698306394079204e-12
Vavraia_culicis	0	0.0	1.0	1.0	1.3245128584309487e-21	8.612637108138743e-19
Zygosaccharomyces_kombuchaensis	2	2.0	1.0	3.7782060122233227e-17	5.345895418182194e-18	1.0
Ambrosiella_xylebori	1	1.0	1.0	2.2691743723981953e-15	1.0	1.0770122294001538e-10
Pisolithus_tinctorius	0	0.0	1.0	1.0	3.3668368864666564e-23	1.859256551172431e-18
Aspergillus_candidus	2	2.0	1.0	9.411402213110875e-12	1.0229775468557911e-13	1.0
Schizophyllum_commune	0	0.0	1.0	1.0	1.6939954958316423e-34	1.2191320857633911e-15
Kluyveromyces_aestuarii	2	2.0	1.0	2.687885416357335e-14	2.919590582179083e-19	1.0
Penicillium_carneum	2	2.0	1.0	1.1955440435383602e-13	1.3040943325215437e-11	1.0
Apophysomyces_elegans	0	0.0	1.0	1.0	9.102619224195149e-20	6.145626368914137e-11
Cryptococcus_gattii_VGII	0	0.0	1.0	1.0	8.148646145865468e-13	2.9816616840469545e-13
Laccaria_bicolor	0	0.0	1.0	1.0	1.1006693997768745e-19	4.9600989006186313e-14
Ogataea_trehalophila	2	2.0	1.0	5.761309089022716e-20	2.4724350301539854e-25	1.0
Polyporus_arcularius	0	0.0	1.0	1.0	4.149767258813287e-33	2.4027309276312275e-15
Cyphellophora_europaea	2	2.0	1.0	6.319887647064648e-13	1.4492783362296535e-10	1.0
Microcyclospora_tardicrescens	2	2.0	1.0	3.9445999244769325e-10	2.226507205262628e-15	1.0
Serendipita_indica	0	0.0	1.0	1.0	7.609752654448498e-22	5.229609280343883e-12
Penicillium_flavigenum	2	2.0	1.0	1.2405162075519727e-13	2.9406960200262233e-10	1.0
Talaromyces_purpureogenus	2	2.0	1.0	3.519956254517327e-17	2.0993130844804142e-10	1.0
Phialophora_attae	2	2.0	1.0	6.763900637501985e-12	9.050058879384038e-13	1.0
Aspergillus_sp._MA_6037	2	2.0	1.0	2.8546104689037774e-14	3.336948556018071e-12	1.0
Ustilago_maydis	0	0.0	1.0	1.0	2.3333269046434926e-20	1.872124172781306e-18
Talaromyces_wortmannii	2	2.0	1.0	5.1854638746968995e-14	1.1422440771013953e-09	1.0
Heterobasidion_annosum	0	0.0	1.0	1.0	3.4564156266412404e-27	4.741954607129998e-16
Candida_golubevii	2	2.0	1.0	1.383032128913402e-18	8.789658246679914e-16	1.0
Bipolaris_oryzae	2	2.0	1.0	2.8640747551378354e-09	7.109497712765034e-11	1.0
Schizosaccharomyces_pombe	0	0.0	1.0	1.0	1.4213816755537234e-11	1.3334187975999612e-08
Ceratocystiopsis_minuta	1	1.0	1.0	4.164689079710904e-11	1.0	2.0498337931023312e-14
Nakazawaea_peltata	2	2.0	1.0	2.246603415142358e-19	1.56242721668573e-13	1.0
Torulaspora_delbrueckii	2	2.0	1.0	2.65239330484492e-18	1.3442129563565947e-19	1.0
Laetiporus_sulphureus	0	0.0	1.0	1.0	5.641754660434832e-28	6.207492744651766e-13
Cladosporium_cladosporioides	2	2.0	1.0	4.921332438789783e-13	9.504404235209998e-14	1.0
Peterozyma_xylosa	2	2.0	1.0	2.2620753115122794e-18	2.981578046284612e-23	1.0
Pichia_norvegensis	2	2.0	1.0	5.267800601719348e-16	8.721487607081557e-24	1.0
Dipodascus_albidus	2	2.0	1.0	7.617916172007744e-14	9.472997486024922e-19	1.0
Aspergillus_costaricaensis	2	2.0	1.0	1.6132928326584306e-11	1.747902517168498e-11	1.0
Mycosphaerella_eumusae	2	2.0	1.0	1.1062057179338309e-32	7.85360428733878e-18	1.0
Pichia_membranifaciens	2	2.0	1.0	6.769219618130631e-19	4.8449987961148197e-20	1.0
Mortierella_elongata	0	0.0	1.0	1.0	8.713449082902919e-22	9.656235155703128e-17
Corynespora_cassiicola	2	2.0	1.0	1.6874062147564928e-09	2.6846438405669915e-09	1.0
Termitomyces_sp._JCM_13351	0	0.0	1.0	1.0	1.0390725424331066e-18	9.63098898302255e-19
Pseudogymnoascus_sp._BL308	1	1.0	1.0	9.516719564867484e-18	1.0	1.43195677537733e-10
Ceratocystis_albifundus	1	1.0	1.0	8.082379780022163e-17	1.0	2.1852498450584268e-16
Armillaria_fuscipes	0	0.0	1.0	1.0	9.492676112797558e-19	1.326689730296593e-10
Boletus_edulis	0	0.0	1.0	1.0	2.7526688841964892e-27	6.079215924177012e-20
Aspergillus_aculeatus	2	2.0	1.0	2.3621304565124568e-11	6.394948806609513e-12	1.0
Trichophyton_interdigitale	2	2.0	1.0	6.652036931896699e-17	2.5648341228645677e-09	1.0
Rhodotorula_diobovata	0	0.0	1.0	1.0	0.0	0.0
Ogataea_nitratoaversa	2	2.0	1.0	3.9115920623710506e-16	4.253168063809777e-19	1.0
Heterobasidion_irregulare	0	0.0	1.0	1.0	2.1263189106478445e-27	9.176690364290862e-16
Coccidioides_immitis	2	2.0	1.0	1.8461149153977362e-14	1.7049131204038837e-11	1.0
Candida_ponderosae	2	2.0	1.0	1.9412815720332894e-24	1.054490685177236e-24	1.0
Scedosporium_aurantiacum	1	1.0	1.0	1.1567270524884388e-17	1.0	1.9505341894605899e-13
Martiniozyma_abiesophila	2	2.0	1.0	5.0808244737117134e-14	5.23393332421841e-22	1.0
Candida_stellimalicola	2	2.0	1.0	4.642702412589399e-24	8.245027256026418e-25	1.0
Pichia_heedii	2	2.0	1.0	4.871851065970466e-21	1.0845672861025666e-29	1.0
Phaeotremella_skinneri	0	0.0	1.0	1.0	5.750147960456283e-15	1.0945214901786088e-14
Cordyceps_cicadae	1	1.0	1.0	6.314312791362926e-23	1.0	5.8363802128662e-22
Encephalitozoon_romaleae	0	0.0	1.0	1.0	5.580005316314918e-13	2.205826657627398e-17
Rhynchosporium_secalis	1	1.0	1.0	1.8159531415251064e-16	1.0	4.049523737170713e-12
Drechslerella_stenobrocha	2	2.0	1.0	5.992444318536627e-10	3.145101123980254e-10	1.0
Sistotremastrum_suecicum	0	0.0	1.0	1.0	2.4778081098101412e-17	6.748369862918935e-09
Heterobasidion_parviporum	0	0.0	1.0	1.0	4.1623953283747006e-29	2.599716486328214e-15
Lipomyces_doorenjongii	2	2.0	1.0	3.618860588971984e-08	6.575254121558849e-13	1.0
Hymenoscyphus_repandus	1	1.0	1.0	9.77211429214564e-16	1.0	5.106249312269995e-10
Nectria_haematococca	1	1.0	1.0	3.676692867230821e-22	1.0	3.8469804553289415e-18
Fonsecaea_erecta	2	2.0	1.0	2.6863736235505087e-10	5.6622702082620435e-09	1.0
Metarhizium_majus	1	1.0	1.0	8.116543290578308e-19	1.0	5.005887638274715e-15
Kazachstania_solicola	2	2.0	1.0	2.9257546287062514e-20	5.698012323821364e-20	1.0
Eurotiomycetes_sp._MA_6039	2	2.0	1.0	4.593100107473961e-15	8.637614343722665e-18	1.0
Heliocybe_sulcata	0	0.0	1.0	1.0	2.1533110776017864e-21	2.2414005373949664e-10
Penicillium_nordicum	2	2.0	1.0	7.900401659917053e-15	1.2352528722114897e-10	1.0
Blastobotrys_adeninivorans	2	2.0	1.0	1.263448320168144e-15	9.271203277846466e-23	1.0
Dentipellis_sp._KUC8613	0	0.0	1.0	1.0	1.7036622815507045e-29	1.887243108371437e-14
Choanephora_cucurbitarum	0	0.0	1.0	1.0	2.983723187540026e-19	6.233562157190284e-16
Aspergillus_welwitschiae	2	2.0	1.0	1.0836059133323417e-10	2.5528251387796352e-11	1.0
Fusarium_beomiforme	1	1.0	1.0	8.8591371829696325e-16	1.0	4.462608060862294e-11
Phialocephala_subalpina	1	1.0	1.0	1.0909199907901783e-14	1.0	1.0908759139061086e-11
Stereum_hirsutum	0	0.0	1.0	1.0	4.749321302664997e-24	6.990356102125339e-13
Trichoderma_guizhouense	1	1.0	1.0	4.099729420602429e-19	1.0	7.713360522130716e-14
Ceratocystiopsis_brevicomis	1	1.0	1.0	9.570963466210003e-11	1.0	4.366360610680536e-16
Hymenoscyphus_scutula	1	1.0	1.0	1.5176348937582888e-21	1.0	7.950657818743545e-13
Blastobotrys_peoriensis	2	2.0	1.0	1.0435636694857622e-21	2.471429776813853e-22	1.0
Eurotiomycetes_sp.	2	2.0	1.0	3.8834443993884804e-10	5.070843744903186e-10	1.0
Malassezia_sympodialis	0	0.0	1.0	1.0	6.562771795104102e-29	9.570435258592348e-22
Lachancea_meyersii	2	2.0	1.0	1.754837820137106e-18	3.723618047495233e-18	1.0
Saitozyma_podzolica	0	0.0	1.0	1.0	1.1989449614320898e-23	1.3229962451375587e-16
Tilletiaria_anomala	0	0.0	1.0	1.0	6.1137760156798384e-27	4.2541783098316456e-17
Penicillium_janthinellum	2	2.0	1.0	1.8150547254416893e-14	6.881094999355852e-11	1.0
Spizellomyces_sp._palustris	0	0.0	1.0	1.0	7.369075811835028e-21	9.044170967698051e-10
Crepidotus_sp._BD2015	0	0.0	1.0	1.0	1.651335860334359e-27	9.11572206607758e-12
Leucosporidium_scottii	0	0.0	1.0	1.0	4.959894506315862e-20	1.819328035131009e-33
Cercospora_berteroae	2	2.0	1.0	6.938308434734086e-14	2.0694444693037523e-14	1.0
Mycosphaerelloides_madeirae	2	2.0	1.0	5.054841907461277e-14	6.735702490559548e-13	1.0
Cutaneotrichosporon_dermatis	0	0.0	1.0	1.0	1.4398443548557793e-10	1.1486287690030874e-15
Lactarius_sp._MG50	0	0.0	1.0	1.0	2.8856549288624237e-18	1.3393179929899537e-14
Microbotryum_violaceum	0	0.0	1.0	1.0	1.723733107687831e-27	3.764522542376287e-18
Irpex_lacteus	0	0.0	1.0	1.0	5.078582904248945e-19	8.385787723941274e-13
Candida_bracarensis	2	2.0	1.0	4.237938938580349e-14	8.83813285037287e-18	1.0
Paraphoma_sp._B47-9	2	2.0	1.0	1.2782380709452923e-09	8.991451924374519e-14	1.0
Pseudomicrostroma_glucosiphilum	0	0.0	1.0	1.0	3.670466068310536e-17	1.5460480118356656e-10
Wallemia_hederae	0	0.0	1.0	1.0	9.566150363370414e-25	6.427904337817127e-16
Nectria_sp._B-13	1	1.0	1.0	9.149407920062386e-20	1.0	2.1901018054226035e-13
Magnaporthe_grisea	1	1.0	1.0	2.392179336563327e-13	1.0	2.5406483896415512e-14
Rhodotorula_sp._FNED722	0	0.0	1.0	1.0	4.511653583145254e-31	2.389062320819236e-34
Cutaneotrichosporon_oleaginosum	0	0.0	1.0	1.0	6.721600836178938e-16	1.0995505418386504e-16
Pseudocercospora_musae	2	2.0	1.0	4.50727990662047e-33	1.0836640914970387e-17	1.0
Penicillium_paxilli	2	2.0	1.0	1.671551123495871e-15	4.331148612500557e-13	1.0
Diplodia_scrobiculata	2	2.0	1.0	3.4941769477825346e-09	1.602052240867735e-10	1.0
Microsporum_canis	2	2.0	1.0	1.5336725297099144e-16	4.900751471303977e-10	1.0
Coccidioides_posadasii	2	2.0	1.0	1.888625804954535e-14	4.157718440367386e-12	1.0
Barnettozyma_populi	2	2.0	1.0	2.2127638574654106e-16	3.053175598215451e-19	1.0
Saccharomycopsis_capsularis	2	2.0	1.0	9.724909137723352e-19	9.764033386070597e-15	1.0
Pseudozyma_tsukubaensis	0	0.0	1.0	1.0	5.459325041220366e-18	3.1464450489515627e-10
Metschnikowia_matae_var._matae	2	2.0	1.0	7.312374842666505e-20	7.328206290334695e-28	1.0
Torulaspora_maleeae	2	2.0	1.0	2.1397440230862096e-20	1.6009864671184693e-21	1.0
Trichophyton_verrucosum	2	2.0	1.0	2.838567879287996e-17	2.011509847577031e-10	1.0
Cryptococcus_gattii_VGIV	0	0.0	1.0	1.0	1.2566295660293436e-12	2.7156624388471884e-13
Chiua_virens	0	0.0	1.0	1.0	4.4119276351360686e-27	1.6926308492369205e-21
Cutaneotrichosporon_mucoides	0	0.0	1.0	1.0	2.0769528458197684e-11	7.7582664608733475e-16
Sclerotinia_glacialis	1	1.0	1.0	1.5275697373695607e-10	1.0	6.525855810596282e-12
Evernia_prunastri	2	2.0	1.0	1.5139255127305518e-10	3.5062588943368667e-10	1.0
Huntiella_bhutanensis	1	1.0	1.0	7.482233352318866e-15	1.0	3.5548390897588433e-09
Nakaseomyces_bacillisporus	2	2.0	1.0	3.4112896969001882e-12	5.709735933839485e-14	1.0
Colletotrichum_fructicola	1	1.0	1.0	1.1288593376515272e-16	1.0	1.1409278036222936e-11
Neonectria_ditissima	1	1.0	1.0	2.5105190652905665e-24	1.0	5.808153030794141e-14
Cryptococcus_sp._JCM_24511	0	0.0	1.0	1.0	2.431348590412133e-24	1.6707461841156282e-17
Phanerochaete_chrysosporium	0	0.0	1.0	1.0	5.120910981099609e-28	8.912712581854443e-12
Thermomyces_lanuginosus	2	2.0	1.0	8.188531775386865e-13	7.436299443803535e-17	1.0
Taiwanofungus_camphoratus	0	0.0	1.0	1.0	4.809412387689755e-24	5.433140374232204e-13
Claviceps_fusiformis	1	1.0	1.0	4.9685827826183304e-14	1.0	8.612637108138743e-19
Mucor_ambiguus	0	0.0	1.0	1.0	1.6351679667410413e-14	1.859005062789052e-14
Kwoniella_mangrovensis	0	0.0	1.0	1.0	4.259659665576428e-28	1.767616777325375e-25
Aspergillus_saccharolyticus	2	2.0	1.0	1.7191468577141557e-15	3.761486971507952e-14	1.0
Sporidiobolus_salmonicolor	0	0.0	1.0	1.0	1.4662098306093563e-34	8.065232626754503e-30
Aspergillus_glaucus	2	2.0	1.0	5.754010007179289e-15	3.269853696449387e-16	1.0
Chytriomyces_confervae	0	0.0	1.0	1.0	8.695264009373312e-27	6.468356232580685e-12
Hymenopellis_chiangmaiae	0	0.0	1.0	1.0	5.395499358236874e-24	8.614803315154518e-12
Aspergillus_eucalypticola	2	2.0	1.0	4.712015500007993e-11	1.4078262861039192e-11	1.0
Cladophialophora_yegresii	2	2.0	1.0	3.291726266563266e-11	6.036534987152731e-12	1.0
Metschnikowia_cerradonensis	2	2.0	1.0	1.2558619162988409e-21	1.772501788610565e-29	1.0
Powellomyces_hirtus	0	0.0	0.9999998807907104	0.9999998807907104	2.1758292926326953e-20	7.379335897894634e-08
Talaromyces_atroroseus	2	2.0	1.0	2.382206641692898e-14	2.8996047785057044e-09	1.0
Phaeotremella_fagi	0	0.0	1.0	1.0	2.400401540704164e-17	1.45064538159545e-09
Cordyceps_sp._RAO-2017	1	1.0	1.0	9.949314896178232e-24	1.0	1.6573151441932631e-31
