genome	top_class	top_p	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
G001606005_ng_n05_s33	1.0	0.9938540458679199	5.3501823644248116e-17	0.9938540458679199	1.3510721447910375e-17	1.0996685705858943e-15	0.006145516876131296	3.3317526255266516e-12	3.904003342825035e-09	2.4036404474950894e-21	1.8516015687425305e-22	1.1899271986585275e-13	1.8480502683715372e-09	4.588426603187486e-14	2.996730106364055e-17	5.196492338654934e-07	5.613732880784504e-15
G000008665_ng_n10_s33	13.0	1.0	4.265753213579223e-15	2.4906879406048573e-16	1.090924700293365e-13	1.3433501533377523e-10	1.972626229029828e-10	8.479177082687528e-11	1.1184213277726229e-10	7.051631278681345e-14	1.6871701992850034e-14	1.7230007517450444e-15	6.440699640286596e-10	1.8114841182637065e-08	7.742693611907311e-14	1.0	3.805367479459143e-11
G000318295_ng_n03_s22	6.0	1.0	4.508931205834954e-14	4.220313121963418e-18	2.2735395301206117e-24	1.0771897322989739e-16	5.840680451221422e-14	5.3080001236515474e-17	1.0	6.707077832599748e-31	1.4854395743282723e-21	2.7224341962099434e-14	1.3662085785598466e-13	5.362992827606661e-10	1.460239670092193e-16	1.280662220857794e-19	2.772643073392622e-17
G000298475_ng_n50_s11	11.0	0.9999998807907104	2.456824348996689e-13	1.6151569827687479e-13	2.151263971538828e-16	8.398008105440537e-15	4.812213127980414e-12	6.894166487692033e-11	1.7307759669904499e-09	2.079939998012037e-09	2.2451145109680937e-10	2.2449186953821254e-09	5.853769380337326e-08	0.9999998807907104	3.3788087345359985e-12	5.284340742761628e-10	7.612952934721307e-09
G000008665_g_n09_s11	13.0	1.0	5.437247513123143e-20	1.6183164077354222e-26	1.9348249543513142e-19	8.669151822186111e-15	2.6372421105343884e-16	2.0947038448622412e-19	2.5801996693182826e-18	3.474477864439162e-17	2.793107428689365e-19	1.3055304669141793e-22	1.2290238271539522e-12	1.5190082525151638e-09	4.751111612316246e-18	1.0	4.916939183824236e-14
G001606005_ng_n100_s22	1.0	0.9999334812164307	7.524903722297765e-17	0.9999334812164307	1.2371672030933777e-18	1.6373179957650128e-18	6.653162563452497e-05	1.530096362112321e-12	1.3676703509625266e-18	6.818163931326104e-22	5.2732586335670786e-20	1.377863667210771e-14	5.16525739552038e-14	2.341404522522572e-13	2.2914730519884726e-19	1.4859486904827968e-11	1.8208226545295326e-16
G000017265_g_n4_s11	7.0	1.0	6.76126904075096e-27	2.773873746730306e-22	1.193983466367501e-31	8.37316147063828e-28	4.524027852878044e-16	5.421307985703551e-17	2.060533556746414e-23	1.0	4.606439180440316e-21	6.824618994927256e-14	6.12558506522809e-13	3.2366635413505485e-12	1.1900159821452326e-35	5.622036430793222e-19	1.2980630313303554e-20
G000153405_g_n40_s11	8.0	0.9999982118606567	4.964662103947979e-21	7.429228321356399e-20	2.3940380402517935e-16	2.192663567103719e-17	1.325991780464246e-17	1.2354740677770582e-18	4.012146916959855e-18	6.700302205425723e-12	0.9999982118606567	1.7497382032161113e-06	4.662729646831565e-10	2.316293417649589e-14	3.111244969686381e-19	9.463632832138541e-21	1.115345985769269e-16
G900089075_ng_n1_s44	6.0	0.9999908208847046	2.4305714182998187e-15	5.375793034242311e-18	8.778214497588337e-20	8.489295377778205e-10	7.930358843569185e-14	6.605538264163786e-16	0.9999908208847046	3.2436188202597874e-14	5.533636215915294e-09	1.8347144279100974e-13	2.421068033553464e-11	9.16134740691632e-06	1.675579506313894e-15	1.0780555096758965e-19	5.04553732127988e-10
G000237805_g_n07_s44	14.0	0.9950903654098511	3.116288382898347e-07	1.5783201888552867e-05	0.0003085096541326493	1.3902264299758826e-06	6.089843282097718e-06	0.004150273744016886	7.989309884273004e-18	0.0004142394755035639	1.0670795745681971e-05	2.556460572122887e-07	6.171421707001912e-11	1.293117634304508e-06	7.894890359239071e-07	3.558314176643762e-08	0.9950903654098511
G000298475_g_n40_s22	11.0	0.9999998807907104	1.3609861122202555e-13	6.583081112567293e-14	7.490107211777865e-17	1.9510158801570344e-15	2.796971855512087e-12	4.8922407791529565e-11	1.4281688054396113e-09	3.2294289464829262e-09	5.177893669383593e-10	2.0537915812468555e-09	8.240287741045904e-08	0.9999998807907104	2.7627785042366737e-12	3.9900546755511357e-10	6.7596288566562635e-09
G000008665	13.0	1.0	1.9042790902868247e-16	4.019865907942258e-19	1.4694156044795783e-15	2.9440323876667174e-12	1.822331695267021e-11	2.07022923109923e-11	1.5730641615696594e-12	1.0454361002918116e-14	8.847080727756652e-16	5.933777229017e-18	1.0813450829205706e-10	9.981285131743789e-09	7.892659778779149e-15	1.0	8.72218475830161e-13
G000237805_ng_n05_s22	14.0	0.9999958276748657	1.7516177175163836e-14	1.991767821095565e-14	1.7563039564350014e-11	6.912451947643783e-12	8.038887777672699e-09	4.297236733119547e-10	4.216173509512594e-20	1.5936425370455254e-06	2.3596177095575044e-11	6.681395210315563e-14	2.304391728102928e-06	7.397346024617946e-08	8.542490603780095e-10	1.815144230477017e-07	0.9999958276748657
G900089075_ng_n2_s11	6.0	0.9997994303703308	8.785788452314591e-08	1.6699203733141696e-14	5.90375738544085e-15	0.00015331832400988787	4.324281377421357e-09	7.618890518479304e-10	0.9997994303703308	2.393170625574246e-16	4.54818203498436e-13	1.8359529174727385e-10	1.6697908611362777e-09	3.965093492297456e-05	7.670189816622042e-09	9.902649880655368e-12	7.513601303799078e-06
G000018945_g_n100_s11	14.0	0.9999998807907104	6.7242968361709305e-15	1.5949934466452945e-22	8.725744978598147e-17	2.237661570386783e-15	1.3780417135362839e-15	3.363522504049259e-17	5.91291239293422e-21	1.1928076781912668e-18	1.736407483355067e-16	3.023491511075647e-20	9.07659059024013e-10	8.394578543402531e-08	2.2188361445494437e-13	2.198511417361715e-08	0.9999998807907104
G000017265_g_n04_s33	7.0	0.9991335272789001	1.4014113203231204e-09	4.77917474484002e-08	4.4021509290755826e-16	4.904385562622864e-15	1.2248561915839673e-06	3.4693023280851776e-06	3.759167611860903e-06	0.9991335272789001	8.833398286922298e-14	0.0008150739595293999	7.747355994069949e-06	3.5118933737976477e-05	4.237685569188257e-19	1.7844482835815967e-11	2.3153514323089475e-15
G000017265_ng_n04_s44	11.0	0.5512949228286743	2.011435587317631e-15	0.10334319621324539	3.3613726629607224e-14	1.2833698574612074e-14	2.5019793611136265e-05	0.08145516365766525	9.823615982895717e-07	0.26088058948516846	6.09812686458433e-11	4.665723736252403e-06	0.002995489863678813	0.5512949228286743	1.6174757552521527e-20	4.0440650828088565e-09	1.6874255326371213e-09
G000237805_ng_n5_s33	14.0	0.9999911785125732	3.273178839080515e-09	1.055494408319646e-06	1.014489470207991e-07	3.6475066167440673e-07	7.184596597653581e-07	8.991294748739165e-07	4.8209080092754056e-14	2.8548222985591565e-07	1.0009065624927427e-11	5.419691084806999e-11	1.7051467011697241e-06	1.1880224093374636e-07	4.485422699929131e-09	3.660632046376122e-06	0.9999911785125732
G000298475_ng_n04_s33	11.0	0.9812963604927063	5.6614028786164394e-14	1.3744290121371259e-16	2.373732070279355e-12	4.319898039284453e-08	5.752279763626689e-10	0.004139541648328304	0.00032903035753406584	2.631214343629118e-11	1.2193673683214001e-05	0.0004913336015306413	0.013720161281526089	0.9812963604927063	4.34623243969999e-14	1.0984615073539317e-05	3.950814004838321e-07
G000153405_ng_n09_s55	8.0	0.9980996251106262	1.423824830334669e-17	7.721234709814982e-18	2.8056368534847e-13	2.785874489034898e-17	6.286746720673671e-15	3.411050608637112e-11	1.0427117882235576e-14	7.105014354635841e-10	0.9980996251106262	0.0018998021259903908	5.374920988288068e-07	3.732660014410527e-12	1.1227176043213823e-17	5.880129189618955e-17	4.408768543382596e-14
G000298475_ng_n4_s44	11.0	0.9999994039535522	2.6314137500926815e-12	6.764499984462935e-14	3.1142641996017147e-17	4.898981915935855e-15	8.136560314397911e-10	1.4497863846940628e-11	3.525791214542551e-08	1.5224242699840573e-10	4.622551647015527e-11	8.308746579643866e-09	1.0718598275616387e-07	0.9999994039535522	3.48351313073092e-11	4.2244538422941957e-10	4.5525226255449525e-07
G000318295_ng_n30_s55	6.0	1.0	1.5690023268794505e-14	2.4411035624507797e-19	8.197159537595902e-20	1.1804119862829105e-14	1.344680473875726e-14	1.6445449602803253e-14	1.0	2.493189968458959e-22	8.587164115089578e-15	1.5757149274611693e-13	5.209893931198972e-13	2.889778549786115e-08	6.502852592317045e-17	1.9739938304367754e-20	1.2089678216864463e-13
G900089075_ng_n06_s55	6.0	0.9883301258087158	6.364472750902683e-14	3.432023183459347e-16	1.7320479106546676e-16	7.016392191872001e-05	1.3507828043657355e-05	4.839223466390763e-10	0.9883301258087158	3.360960666135178e-15	1.3122815334387639e-10	1.0438044178995298e-10	2.0569806274961522e-11	0.010736390948295593	1.023645578024368e-12	7.621513663236268e-12	0.0008498089737258852
G000237805_g_n50_s11	14.0	0.9999947547912598	2.277940946981971e-09	8.288522224120243e-08	8.84394069089467e-09	4.321752200553419e-08	2.444741085128044e-07	3.8004882298992015e-06	4.565236005761965e-16	6.275355417528772e-07	2.0688910654098613e-11	5.70072655747822e-10	1.0614171230827196e-07	4.859586510974623e-08	4.269581632687647e-10	2.948200972241466e-07	0.9999947547912598
G000018945_g_n40_s22	14.0	0.9999996423721313	3.269992715731855e-15	2.128799591554759e-22	3.270575527339125e-17	4.0751021907782774e-15	1.0321488215031755e-15	3.6030720242111454e-17	4.526916750535853e-21	1.8056382902764376e-18	3.0156876963403413e-16	5.83109017474466e-20	8.883869195841498e-10	3.1018399226923066e-07	4.0514838120682406e-13	2.610542892966805e-08	0.9999996423721313
G000008665_ng_n02_s33	6.0	0.6833573579788208	8.469240864172889e-10	1.4677327353018412e-18	0.001786417094990611	0.003202324267476797	0.24208495020866394	0.011275600641965866	0.6833573579788208	2.5651408774862716e-10	0.0003480058803688735	1.8557418002274062e-07	0.0036364966072142124	1.104582679545274e-05	3.655326054285979e-06	0.054291412234306335	2.4976272925414378e-06
G000318295_g_n07_s33	6.0	1.0	4.41273890709071e-18	3.347925641368296e-20	4.852188764705817e-22	1.3394190270799022e-12	9.425759767156278e-15	2.455272651857854e-10	1.0	1.8101380298221555e-22	2.4780670543995617e-14	9.064106980106556e-16	5.70364632260234e-12	1.2046049054081909e-11	1.95865698660036e-10	3.6494943081010617e-14	1.8823147207580604e-10
G000018945_ng_n4_s44	14.0	1.0	2.729023689023108e-16	2.800347413838544e-22	2.7233752034922286e-17	4.137173876883816e-16	9.589865492074323e-17	3.6343764780378193e-19	2.2883139087992697e-24	4.9299021005274256e-20	8.047702218074348e-18	1.746307318121761e-21	4.002803297153967e-12	3.5384363883395054e-08	2.976976067189333e-15	2.4944146748140383e-09	1.0
G000017265_ng	7.0	1.0	1.6796803075048026e-24	7.593877019622642e-18	2.0423672006674172e-26	2.720676146391649e-24	2.6744153902103288e-14	6.97612396655437e-15	1.1695615733018796e-20	1.0	3.87159139207317e-20	1.4434753305841985e-12	3.4039192905316318e-12	1.7486885420595066e-12	1.1755929454109627e-32	1.989259027296317e-17	4.478264432904405e-18
G000237805_g_n100_s55	14.0	0.999997615814209	1.0368026437390654e-09	3.526013259147476e-08	7.212915154042321e-09	2.5804343550817066e-08	1.2641994828754832e-07	1.7086547359213e-06	2.1836081893275295e-16	3.670621140372532e-07	1.985253758260419e-12	1.8720924810367023e-10	3.500295520098007e-08	2.4255921715621298e-08	3.0440081011384734e-10	8.20162000536584e-08	0.999997615814209
G000018945_ng_n03_s44	14.0	0.9999997615814209	3.698838921668018e-20	1.5599521022543381e-25	1.4815970013045046e-21	1.6272867764765822e-18	3.86810115188263e-12	8.541393842751745e-15	9.010201339346668e-21	3.047876062461048e-22	1.5835073895272065e-19	6.429398998850805e-24	7.312830341277277e-10	1.9253738514635188e-07	1.190940590589662e-08	1.5600905456381042e-08	0.9999997615814209
G000237805_g_n08_s44	14.0	0.7835257649421692	3.0328750622032885e-10	4.495716439123498e-06	5.550925834540976e-07	0.00022531991999130696	7.410108810290694e-05	0.21515025198459625	1.4277422187493772e-15	3.06032732488859e-09	2.3061568654725306e-08	3.5112466267861464e-09	1.7123609268310247e-06	3.476321944617666e-05	8.1501272744533e-12	0.000983026227913797	0.7835257649421692
G000018945_ng_n04_s33	14.0	1.0	5.203237675248905e-14	3.275105192039924e-26	5.735296964866373e-22	4.863291281438319e-21	9.952361066786525e-22	1.2243721439650344e-20	1.7898296752282397e-27	2.236757415244789e-22	1.988905901630996e-21	3.776074416040342e-24	1.5924760450675905e-15	2.350003601003098e-13	2.144529874319699e-15	1.951778472175647e-08	1.0
G000237805_g_n10_s11	14.0	0.9999110698699951	2.5663902114558823e-09	8.914205977816891e-07	3.2604383193302056e-08	9.759934727071595e-08	7.973161700647324e-06	7.707469194428995e-05	1.6906290583251164e-15	1.5282402046068455e-06	3.318733482471359e-11	1.072003930069343e-09	4.230059857945889e-07	1.0069594935657733e-07	3.546339888416128e-09	7.553550744887616e-07	0.9999110698699951
G000298475_g_n09_s33	11.0	0.9999997615814209	1.9938735450024392e-14	1.2254873739666401e-15	1.886683139635956e-20	1.0065608286105587e-13	1.612959765751043e-12	6.803445307124178e-11	2.2902723628703825e-07	4.691644850396415e-09	8.88455822990351e-15	1.353213097132766e-09	3.284569061179354e-08	0.9999997615814209	2.6387642816801636e-14	1.2802551479075639e-14	1.6269218194864266e-09
G000008665_g_n06_s11	13.0	1.0	2.213595095915856e-20	1.6036669649573755e-17	4.965245726916033e-15	6.0015430125570646e-12	4.329994262447512e-12	1.563320133068924e-11	1.5357692009521648e-15	1.4040077260524253e-11	2.017430547705118e-14	6.328332997874721e-20	2.6139357605509117e-12	2.669525624859892e-12	8.715199418404831e-17	1.0	2.99592781138891e-11
G000318295_ng_n3_s55	6.0	1.0	1.8242738320396051e-13	6.028965348199269e-19	1.169312336674734e-19	8.310171424084976e-17	5.19014885627981e-16	1.099428416893013e-17	1.0	3.0749564582687095e-23	1.2587290761025167e-15	9.116298820975761e-15	9.040656136043157e-13	2.13841886420596e-08	4.064230840537624e-17	3.8008218093633535e-21	4.131874627007556e-16
G000283915_ng_n2_s11	10.0	1.0	2.009484544530943e-18	8.634517379509266e-18	5.894252913443004e-14	2.402732457440493e-10	5.11124302604582e-12	1.2022590388516274e-11	1.2184528559722185e-12	3.9144282992553724e-16	2.1715511333564308e-12	6.142936636796548e-13	1.0	4.6068877921520116e-17	4.398618188433678e-12	8.357635709377759e-17	9.223988933770855e-11
G000283915_g_n03_s33	10.0	0.9999586343765259	8.586670805062743e-23	8.19737441068471e-21	6.707648880777128e-10	4.136917050345801e-05	7.656894087141545e-15	1.5210063026779852e-12	9.785618114907242e-16	3.1391755861420734e-09	2.1998136645606792e-10	1.3653237651567451e-08	0.9999586343765259	4.617788356559016e-13	8.408445609376074e-18	3.563426870453673e-20	4.5142646565299316e-11
G000008665_g_n4_s11	13.0	1.0	1.9567306460160367e-17	8.822897760302685e-20	3.640877950148412e-15	3.991474251813232e-12	2.217644253996176e-12	6.104966358833064e-12	1.561722626219897e-11	1.0204670089627652e-14	5.875510213078459e-17	1.2010399864425476e-18	1.25142146645274e-10	3.1950879719744307e-09	1.9737794670980201e-16	1.0	2.4363386199981185e-13
G000153405_g_n03_s44	8.0	1.0	1.2797206055500862e-25	9.503166529787701e-30	4.256248362162432e-28	4.367887703246557e-26	3.18759155166455e-26	8.174009461388217e-23	4.933184269288479e-24	1.4120562273574116e-15	1.0	4.817270714274624e-13	1.315476113455949e-11	4.448814397656296e-15	4.422912080277384e-28	3.933381390031517e-22	3.79439245034989e-27
G000237805_g_n20_s33	14.0	0.9999966621398926	9.54673784470117e-10	1.208762796522933e-07	8.516501992517078e-08	6.527972828962447e-08	4.0484218288838747e-07	1.2860779179391102e-06	2.5204045563120576e-15	2.5035734552147915e-07	6.0061122741927875e-12	1.51212181664917e-10	5.802191438419868e-08	3.533041237346879e-08	1.7106118743726029e-09	1.036751768879185e-06	0.9999966621398926
G000018945_ng_n100_s44	14.0	1.0	4.644158406501503e-15	9.710913084239209e-23	5.97208983616668e-17	1.163095350588362e-15	9.984372278398095e-16	2.81047848004692e-17	3.7986476329779175e-21	4.414757020990187e-19	1.2259028436272684e-16	1.8223616075155753e-20	3.7576652900384033e-10	3.0848667620375636e-08	1.047684278199755e-13	9.339049533707566e-09	1.0
G001606005_g_n02_s22	1.0	0.6512851715087891	1.0322614338717684e-18	0.6512851715087891	3.730850099249976e-28	7.71133875640894e-27	0.34871476888656616	9.329319261563995e-11	1.5929908756633986e-17	2.765930732781362e-20	5.966638581513106e-20	5.420495341468268e-08	1.0754542395519096e-10	7.88688132001298e-15	4.349620943663253e-23	1.985646980173783e-09	5.972707773171482e-16
G000237805_ng_n50_s44	14.0	0.9999934434890747	7.665505452614241e-10	1.775223381628166e-07	1.4404967885184305e-08	9.082695839879307e-08	2.217893069200727e-07	4.816052296519047e-06	1.5737610638562436e-15	5.23983146649698e-07	2.442370958255502e-11	1.7159743626038448e-09	1.9257558392382634e-07	1.7306078348156007e-07	7.636290488832742e-10	4.3038423314101237e-07	0.9999934434890747
G001606005_g_n100_s55	1.0	0.9999232292175293	1.6758853910869712e-16	0.9999232292175293	2.638849463085283e-18	2.5895474306255913e-18	7.677084067836404e-05	1.3775050978354075e-12	1.113856700843107e-18	1.4270953712910284e-21	3.3991710312796044e-19	3.109918057667485e-14	5.416706579802755e-14	6.564439746989392e-13	5.110006461744069e-19	2.461705145284654e-11	5.037511930997809e-16
G000318295_g_n05_s33	11.0	0.9521456360816956	0.01098684687167406	7.84645089879632e-06	2.436620715850872e-14	9.561966900239506e-15	3.5268003557575867e-06	1.6797891203013116e-13	0.03403208777308464	2.538822186607271e-14	9.172715920158225e-09	1.7643632190811331e-06	4.792938739228703e-07	0.9521456360816956	0.00282177678309381	2.70481284041262e-16	8.532772710623249e-09
G000008665_g_n01_s55	13.0	0.9999995231628418	3.3295989663312264e-12	1.4886886020960646e-23	1.5818676456175e-16	3.83719989116571e-09	2.3755168498951207e-08	7.080226433354292e-15	3.353680710915796e-07	3.979607219848795e-16	5.989907135004651e-25	2.7799735148938424e-16	7.540447155562902e-10	7.815136626732055e-08	1.7171332444051307e-13	0.9999995231628418	5.131638996657036e-16
G900089075_g_n08_s22	6.0	1.0	3.675599863535439e-14	3.070589107202885e-20	9.294030963439633e-18	1.5306679257420797e-09	7.15282190031849e-14	4.5069473869098486e-13	1.0	1.0359538647286286e-18	9.611011124325067e-14	1.4059478407879578e-11	8.313965835227144e-12	1.0410596829046881e-08	6.850882098489823e-15	1.0174182324537359e-13	2.407977595098032e-09
G000153405_ng_n5_s22	8.0	0.9999969005584717	2.6333824157847476e-23	2.3562237729089076e-21	1.3097831143227235e-18	2.6307583959235957e-18	6.2549218300345876e-18	5.348454723075369e-22	1.321808769465596e-19	7.561106254994066e-12	0.9999969005584717	3.0727815101272427e-06	6.961360932145055e-10	2.2293446597568115e-16	6.917406116812665e-21	7.659554137592697e-22	1.26732316833831e-17
G001606005_ng_n4_s44	1.0	0.9998339414596558	6.439878339666648e-17	0.9998339414596558	1.5940105153550986e-19	5.84339045902078e-17	0.00016602424148004502	6.183799132475354e-13	1.5853230106467055e-16	1.7754731087531413e-21	1.3832378900907746e-18	2.26530830226869e-15	2.3478588864755956e-12	1.6104289126198101e-13	7.294488354389753e-20	7.929021154928773e-12	1.0746374764451089e-15
G900089075_g_n20_s55	6.0	1.0	2.637869848769181e-13	9.071911048682912e-19	3.3969467550201585e-16	4.325807712035612e-09	6.299095359901807e-12	2.121194712934038e-12	1.0	3.076645216482885e-16	1.1601000542149631e-11	8.925262872522266e-13	6.337994907547329e-13	3.9476070412547415e-08	1.24879013380097e-12	3.049573355274368e-15	1.7317312028808374e-08
G000017265_g_n06_s33	7.0	0.9998995065689087	1.4287806968591426e-18	3.2700729235557446e-08	1.2094340214282797e-20	1.41184154685693e-14	5.063928711024346e-06	2.1052768417462175e-09	5.4906175092628295e-12	0.9998995065689087	3.8054179118008225e-15	6.058714916434838e-07	4.31997229100034e-08	9.470526856603101e-05	2.0141619461548072e-22	1.2297808327232929e-09	4.4877310201307807e-10
G001606005_ng_n05_s22	1.0	0.9999983310699463	1.658695662103745e-14	0.9999983310699463	1.8790121703655204e-20	1.2117812368892784e-18	1.6303910115311737e-06	2.1896381734685944e-13	2.179504281610858e-17	1.1260496532648684e-18	1.5464581799172838e-21	8.74648254213864e-15	4.7763308065607024e-12	1.5398345355825118e-15	2.249847555466245e-17	2.7044315138030628e-12	1.8564749753756035e-14
G001606005_ng_n02_s55	1.0	1.0	3.619908355799169e-24	1.0	1.1655233752770624e-25	5.952735318897345e-24	4.255660407403994e-11	2.1048513799619635e-20	1.4176820720760462e-20	3.728037076343554e-26	7.568729363022108e-22	3.7950574752489813e-20	8.138707595091666e-20	2.0417367302046918e-18	3.019634737525648e-17	1.4486486859535078e-17	3.882267595750716e-21
G000283915_ng_n5_s55	10.0	1.0	6.20826181245139e-17	2.0568410068308794e-17	3.83945097937044e-11	4.867111227935261e-11	3.7042320166075227e-13	5.664463120780283e-09	3.386436617236477e-11	1.8701205948407074e-12	4.710079437586501e-09	1.0413431228428749e-09	1.0	2.8623621332722225e-15	1.8860241601977024e-13	9.852257796757764e-15	1.4713861240522874e-09
G000017265_ng_n30_s55	7.0	1.0	4.672852084741267e-25	2.2005558214051794e-18	1.163270776799228e-26	2.2896060629620217e-24	2.811769405904139e-14	4.4022373264362025e-15	3.1352011218899395e-21	1.0	1.4007815120036235e-19	1.3998623224140139e-12	1.9305410135089796e-12	4.118528434959856e-13	1.0133703168936715e-32	2.9889552703505465e-17	3.8782470553028334e-18
G000283915_g_n01_s33	5.0	0.9999749660491943	2.6878470896862702e-27	1.763755472676153e-27	2.179954208259005e-05	1.1326879985062988e-06	1.8690507041368987e-12	0.9999749660491943	4.167870615590108e-17	3.8432995153576593e-25	5.2687346664747525e-20	1.4156856784329206e-23	2.141351615136955e-06	7.003311098359097e-14	2.1045361233763333e-22	7.065922905611364e-16	2.9043909340270915e-14
G000298475_g_n02_s22	11.0	0.9987301230430603	1.7846319277784514e-15	7.380625556367286e-17	2.8752851031902445e-16	1.0121882444615732e-13	7.206063523668149e-10	2.074467542190206e-10	2.7072479457865284e-13	2.3556854245043723e-09	8.355145866617217e-14	3.26073938900287e-14	4.511028356413149e-11	0.9987301230430603	6.625678715008556e-23	0.001269834698177874	8.208560497990902e-10
G000283915_g_n20_s55	10.0	1.0	1.0433786585864199e-17	2.7067624389419586e-17	3.836727810457852e-11	6.356899728832133e-11	3.4418615960790655e-13	6.064665991623031e-10	1.7065267601812373e-11	2.7710852276013886e-12	2.0936519184999725e-09	3.745877566463385e-11	1.0	3.8325676047492804e-14	2.1149438266237358e-13	2.446692784626673e-15	2.376036700724171e-09
G900089075_g_n1_s11	6.0	0.9999998807907104	2.7013071828021714e-16	2.5691772614738148e-20	3.1266932169625894e-16	8.883115754088067e-08	1.982068155437222e-12	2.881427464251213e-13	0.9999998807907104	2.5622476851391225e-20	1.7957555085489296e-16	1.1305179174977573e-17	8.089103765785484e-17	1.5550987164658636e-09	2.360810420038665e-15	1.230897525601986e-17	7.088896136764333e-09
G000153405_g_n20_s22	8.0	0.9999982118606567	2.716881764880581e-23	2.7464260320416247e-21	1.4963851136678206e-17	5.418180353768942e-19	2.85674000337002e-18	1.8194780672093254e-21	1.8235169461867646e-19	4.1834019430010694e-13	0.9999982118606567	1.7590122070032521e-06	1.0208136419498359e-10	4.375698090132831e-16	3.038231158733003e-21	1.6403224797318995e-21	4.6971211201446036e-18
